Expense Amount,Item Description,Category,Date
140,sandwich,Food,2024-04-05
80,rickshaw,Transportation,2024-04-05
20,sugacane juice,Food,2024-04-05
200,pizza hut,Food,2024-04-05
249,movie,Entertainment,2024-04-05
190,iscon gathiya,Food,2024-04-06
40,rickshaw,Transportation,2024-04-06
20,thumbs up,Food,2024-04-06
50,gpay to friend,Other,2024-04-06
20,rickshaw,Transportation,2024-04-06
60,wafer,Food,2024-04-06
20,chai,Food,2024-04-06
20,poha,Food,2024-04-06
30,poha,Food,2024-04-06
40,wafer,Food,2024-04-06
20,chai,Food,2024-04-06
100,wafer,Food,2024-07-22
